Gloss,LGR,Meaning
1,1,first person
2,2,second person
ABIL,none,ability
ACC,ACC,accusative
ADD,none,additive
ADN,none,adnominal
ADVL,none,adverbializer
ASSOC,none,associative
AUX,AUX,auxiliary
CAUS,CAUS,causative
CG,none,common ground suffix
CHNG,none,change
CLF,CLF,classifier
CND,COND,conditional
CNT,none,content
CNT,none,content
COM,COM,comitative
COM,COM,comitative
COMP,COMP,complementizer
COP,COP,copula
CVB,CVB,converb
DAT,DAT,dative
DECL,DECL,declarative
DELIM,none,delimiting
DEM,DEM,demonstrative
DIR,none,directional
DIST,DIST,distal
EACH,none,each' particle
EGO,none,egophoric
EMPH,none,emphasis
EP,none,epenthetic
EPN,none,epenthetic
EV,none,evidential
EXIST,none,existential copula
FOC,FOC,focus
GEN,GEN,genitive
HON,none,honorific
HORT,none,hortative
ILLOC,none,illocutinary force
IMP,IMP,imperative
IMP,IMP,imperative
IND,IND,indicative
INSTR,INS,instrumental
INTENT,none,intentional
INTF,none,interfix
IPF,IPFV,imperfective
IRR,IRR,irrealis
LOC,LOC,locative
MED,none,medial
MIR,none,mirative
MOD,none,modal
NEG,NEG,negation
NMLZ,NMLZ,nominalizer
NOM,NOM,nominative
NPST,none,nonpast
ORD,none,ordinal
PASS,PASS,passive
PERF,PFV,perfective
PF,PFV,perfective
PL,PL,plural
PLR,none,polar
POL,none,politeness marker
POT,none,potential
PROG,PROG,progressive
PROX,PROX,proximal
PRS,PRS,present
PST,PST,past
PURP,PURP,purposive
Q,none,question
QUOT,QUOT,quotative
REAL,none,realis
REDUP,none,reduplication
REP,none,repetition
RS,none,reason
SEQ,none,sequential
SG,SG,singular
SIM,none,simultaneous
SRC,none,source
STN,none,stance
TOP,TOP,topic
TRSP,,(unclear)
VOC,VOC,vocative
VOL,none,volitional